num_of_users,all,core:0,core:1,core:2,core:3,core:4,core:5,core:6,core:7,core:8,core:9,core:10,core:11,core:12,core:13,core:14,core:15,core:16,core:17,core:18,core:19,core:20,core:21,core:22,core:23
100,6.46,6.13,6.44,6.31,6.67,6.66,6.64,7.00,6.33,6.40,6.05,6.88,6.24,6.24,6.27,6.55,6.22,6.07,6.24,6.40,6.03,7.23,6.67,6.84,6.49
200,12.62,12.50,12.49,13.48,12.40,12.31,12.20,12.49,12.33,12.95,11.93,12.32,12.52,12.77,13.56,12.79,13.17,12.76,12.33,12.60,12.70,12.46,12.23,12.61,12.93
300,18.31,18.20,18.57,18.43,18.72,17.96,18.57,18.78,18.59,18.67,17.96,18.36,18.94,17.54,18.49,18.31,18.27,18.22,17.97,18.73,17.84,18.39,18.55,17.42,18.01
400,24.33,23.96,24.07,24.33,25.22,23.89,24.17,24.12,24.29,24.56,24.05,23.81,24.53,23.50,24.29,24.63,25.55,24.59,23.77,25.04,24.67,24.27,24.45,24.05,24.09
500,28.57,27.53,28.88,28.70,28.33,28.47,28.66,27.46,28.23,28.50,28.83,29.46,29.01,27.08,28.94,29.11,28.86,29.63,27.92,29.17,28.53,29.04,28.33,28.41,28.56
