Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   18.31    0.00    6.86    0.03    0.00    0.99    0.00    0.00    0.00   73.81
Average:       0   18.20    0.00    6.89    0.00    0.00    1.27    0.00    0.00    0.00   73.64
Average:       1   18.57    0.00    6.88    0.00    0.00    0.94    0.00    0.00    0.00   73.61
Average:       2   18.43    0.00    6.86    0.00    0.00    1.04    0.00    0.00    0.00   73.68
Average:       3   18.72    0.00    6.73    0.00    0.00    0.77    0.00    0.00    0.00   73.77
Average:       4   17.96    0.00    6.80    0.00    0.00    1.48    0.00    0.00    0.00   73.76
Average:       5   18.57    0.00    6.98    0.00    0.00    0.80    0.00    0.00    0.00   73.65
Average:       6   18.78    0.00    6.54    0.00    0.00    1.19    0.00    0.00    0.00   73.49
Average:       7   18.59    0.00    6.86    0.00    0.00    0.74    0.00    0.00    0.00   73.82
Average:       8   18.67    0.00    7.22    0.00    0.00    0.71    0.00    0.00    0.00   73.40
Average:       9   17.96    0.00    6.80    0.00    0.00    1.45    0.00    0.00    0.00   73.79
Average:      10   18.36    0.00    6.89    0.03    0.00    0.71    0.00    0.00    0.00   74.02
Average:      11   18.94    0.00    6.63    0.00    0.00    0.92    0.00    0.00    0.00   73.51
Average:      12   17.54    0.00    6.99    0.00    0.00    1.25    0.00    0.00    0.00   74.23
Average:      13   18.49    0.00    6.89    0.33    0.00    0.56    0.00    0.00    0.00   73.73
Average:      14   18.31    0.00    6.82    0.06    0.00    0.80    0.00    0.00    0.00   74.01
Average:      15   18.27    0.00    6.92    0.12    0.00    0.80    0.00    0.00    0.00   73.90
Average:      16   18.22    0.00    7.22    0.00    0.00    0.77    0.00    0.00    0.00   73.79
Average:      17   17.97    0.00    6.83    0.09    0.00    1.33    0.00    0.00    0.00   73.78
Average:      18   18.73    0.00    6.46    0.03    0.00    0.80    0.00    0.00    0.00   73.99
Average:      19   17.84    0.00    6.98    0.00    0.00    1.51    0.00    0.00    0.00   73.67
Average:      20   18.39    0.00    7.08    0.00    0.00    0.62    0.00    0.00    0.00   73.90
Average:      21   18.55    0.00    6.81    0.09    0.00    0.62    0.00    0.00    0.00   73.93
Average:      22   17.42    0.00    6.91    0.03    0.00    1.25    0.00    0.00    0.00   74.39
Average:      23   18.01    0.00    6.79    0.00    0.00    1.45    0.00    0.00    0.00   73.75
