CPU,%usr
all,6.46
0,6.13
1,6.44
2,6.31
3,6.67
4,6.66
5,6.64
6,7.00
7,6.33
8,6.40
9,6.05
10,6.88
11,6.24
12,6.24
13,6.27
14,6.55
15,6.22
16,6.07
17,6.24
18,6.40
19,6.03
20,7.23
21,6.67
22,6.84
23,6.49
