CPU,%usr
all,12.62
0,12.50
1,12.49
2,13.48
3,12.40
4,12.31
5,12.20
6,12.49
7,12.33
8,12.95
9,11.93
10,12.32
11,12.52
12,12.77
13,13.56
14,12.79
15,13.17
16,12.76
17,12.33
18,12.60
19,12.70
20,12.46
21,12.23
22,12.61
23,12.93
