CPU,%usr
all,13.83
0,14.66
1,14.13
2,13.91
3,14.39
4,13.97
5,14.71
6,14.19
7,13.22
8,12.85
9,13.88
10,13.40
11,12.73
12,13.28
13,14.19
14,12.44
15,14.50
16,13.48
17,14.89
18,13.85
19,14.74
20,14.85
21,14.59
22,12.74
23,12.30
