Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    7.12    0.00    2.28    0.25    0.00    0.34    0.00    0.00    0.00   90.02
Average:       0    6.69    0.00    2.23    0.00    0.00    1.00    0.00    0.00    0.00   90.09
Average:       1    7.81    0.00    2.24    0.00    0.00    0.32    0.00    0.00    0.00   89.62
Average:       2    6.96    0.00    2.09    0.00    0.00    0.32    0.00    0.00    0.00   90.63
Average:       3    6.86    0.00    2.10    0.00    0.00    0.30    0.00    0.00    0.00   90.75
Average:       4    6.77    0.00    2.33    0.06    0.00    0.30    0.00    0.00    0.00   90.55
Average:       5    6.61    0.00    2.39    0.00    0.00    0.30    0.00    0.00    0.00   90.70
Average:       6    6.68    0.00    2.28    0.00    0.00    0.47    0.00    0.00    0.00   90.57
Average:       7    6.97    0.00    2.27    0.00    0.00    0.30    0.00    0.00    0.00   90.46
Average:       8    8.02    0.00    2.18    0.00    0.00    0.18    0.00    0.00    0.00   89.62
Average:       9    6.73    0.00    2.30    0.00    0.00    0.38    0.00    0.00    0.00   90.58
Average:      10    7.26    0.00    2.07    0.00    0.00    0.24    0.00    0.00    0.00   90.44
Average:      11    6.90    0.00    2.54    0.00    0.00    0.24    0.00    0.00    0.00   90.33
Average:      12    6.93    0.00    2.66    0.00    0.00    0.41    0.00    0.00    0.00   90.00
Average:      13    6.92    0.00    2.10    5.03    0.00    0.30    0.00    0.00    0.00   85.65
Average:      14    7.70    0.00    2.73    0.06    0.00    0.21    0.00    0.00    0.00   89.31
Average:      15    7.32    0.00    2.51    0.06    0.00    0.27    0.00    0.00    0.00   89.85
Average:      16    7.89    0.00    2.44    0.00    0.00    0.21    0.00    0.00    0.00   89.46
Average:      17    6.74    0.00    2.30    0.12    0.00    0.44    0.00    0.00    0.00   90.40
Average:      18    7.31    0.00    2.28    0.44    0.00    0.18    0.00    0.00    0.00   89.79
Average:      19    6.98    0.00    2.01    0.03    0.00    0.47    0.00    0.00    0.00   90.51
Average:      20    7.41    0.00    2.30    0.00    0.00    0.24    0.00    0.00    0.00   90.05
Average:      21    6.83    0.00    1.98    0.06    0.00    0.21    0.00    0.00    0.00   90.92
Average:      22    6.91    0.00    2.01    0.00    0.00    0.53    0.00    0.00    0.00   90.55
Average:      23    7.72    0.00    2.37    0.00    0.00    0.30    0.00    0.00    0.00   89.62
