Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   31.58    0.00   11.71    0.17    0.00    1.35    0.00    0.00    0.00   55.19
Average:       0   31.93    0.00   11.37    0.09    0.00    1.40    0.00    0.00    0.00   55.22
Average:       1   31.22    0.00   11.97    0.00    0.00    1.04    0.00    0.00    0.00   55.76
Average:       2   31.64    0.00   11.60    0.06    0.00    1.31    0.00    0.00    0.00   55.40
Average:       3   31.82    0.00   11.90    0.03    0.00    1.13    0.00    0.00    0.00   55.12
Average:       4   31.36    0.00   11.17    0.03    0.00    1.94    0.00    0.00    0.00   55.51
Average:       5   31.46    0.00   12.01    0.00    0.00    0.95    0.00    0.00    0.00   55.58
Average:       6   30.69    0.00   11.58    0.00    0.00    1.73    0.00    0.00    0.00   56.00
Average:       7   31.85    0.00   11.47    0.00    0.00    0.84    0.00    0.00    0.00   55.84
Average:       8   31.70    0.00   11.50    0.39    0.00    1.16    0.00    0.00    0.00   55.24
Average:       9   31.39    0.00   11.49    0.00    0.00    1.97    0.00    0.00    0.00   55.15
Average:      10   31.70    0.00   11.79    0.00    0.00    1.22    0.00    0.00    0.00   55.29
Average:      11   31.76    0.00   11.27    0.03    0.00    1.08    0.00    0.00    0.00   55.86
Average:      12   31.02    0.00   11.70    0.00    0.00    1.96    0.00    0.00    0.00   55.31
Average:      13   32.27    0.00   11.87    2.53    0.00    1.10    0.00    0.00    0.00   52.23
Average:      14   31.63    0.00   12.22    0.48    0.00    1.04    0.00    0.00    0.00   54.64
Average:      15   31.92    0.00   11.33    0.03    0.00    1.16    0.00    0.00    0.00   55.56
Average:      16   32.10    0.00   11.76    0.12    0.00    0.92    0.00    0.00    0.00   55.09
Average:      17   31.45    0.00   12.03    0.12    0.00    1.78    0.00    0.00    0.00   54.62
Average:      18   31.82    0.00   11.88    0.15    0.00    1.10    0.00    0.00    0.00   55.05
Average:      19   31.45    0.00   11.68    0.00    0.00    1.97    0.00    0.00    0.00   54.90
Average:      20   31.64    0.00   12.47    0.00    0.00    1.01    0.00    0.00    0.00   54.88
Average:      21   31.99    0.00   11.77    0.06    0.00    1.01    0.00    0.00    0.00   55.17
Average:      22   31.20    0.00   11.76    0.00    0.00    1.70    0.00    0.00    0.00   55.34
Average:      23   30.90    0.00   11.43    0.00    0.00    1.85    0.00    0.00    0.00   55.82
