CPU,%usr
all,7.12
0,6.69
1,7.81
2,6.96
3,6.86
4,6.77
5,6.61
6,6.68
7,6.97
8,8.02
9,6.73
10,7.26
11,6.90
12,6.93
13,6.92
14,7.70
15,7.32
16,7.89
17,6.74
18,7.31
19,6.98
20,7.41
21,6.83
22,6.91
23,7.72
