CPU,%usr
all,25.93
0,25.66
1,25.95
2,25.46
3,26.38
4,25.50
5,26.54
6,25.82
7,25.46
8,26.39
9,24.99
10,26.77
11,25.77
12,25.99
13,27.39
14,26.27
15,25.85
16,25.98
17,26.21
18,25.87
19,25.69
20,26.23
21,25.89
22,25.16
23,25.10
