Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   20.25    0.00    6.10    0.02    0.00    0.95    0.00    0.00    0.00   72.68
Average:       0   20.78    0.00    5.62    0.00    0.00    1.15    0.00    0.00    0.00   72.44
Average:       1   21.01    0.00    5.93    0.00    0.00    0.83    0.00    0.00    0.00   72.23
Average:       2   20.59    0.00    5.97    0.00    0.00    0.65    0.00    0.00    0.00   72.78
Average:       3   20.97    0.00    5.98    0.00    0.00    0.71    0.00    0.00    0.00   72.33
Average:       4   19.83    0.00    6.03    0.00    0.00    1.45    0.00    0.00    0.00   72.69
Average:       5   21.20    0.00    5.55    0.00    0.00    0.80    0.00    0.00    0.00   72.45
Average:       6   19.60    0.00    6.23    0.00    0.00    1.33    0.00    0.00    0.00   72.84
Average:       7   19.32    0.00    6.33    0.00    0.00    0.71    0.00    0.00    0.00   73.63
Average:       8   20.14    0.00    6.29    0.00    0.00    0.62    0.00    0.00    0.00   72.95
Average:       9   20.14    0.00    5.81    0.00    0.00    1.42    0.00    0.00    0.00   72.62
Average:      10   20.36    0.00    5.92    0.00    0.00    0.71    0.00    0.00    0.00   73.01
Average:      11   20.95    0.00    6.26    0.06    0.00    0.80    0.00    0.00    0.00   71.93
Average:      12   20.06    0.00    6.26    0.00    0.00    1.07    0.00    0.00    0.00   72.61
Average:      13   20.33    0.00    6.24    0.44    0.00    0.77    0.00    0.00    0.00   72.21
Average:      14   20.69    0.00    5.95    0.00    0.00    0.68    0.00    0.00    0.00   72.68
Average:      15   20.37    0.00    6.19    0.03    0.00    0.65    0.00    0.00    0.00   72.75
Average:      16   20.15    0.00    6.23    0.00    0.00    0.71    0.00    0.00    0.00   72.91
Average:      17   19.99    0.00    6.23    0.00    0.00    1.22    0.00    0.00    0.00   72.56
Average:      18   19.88    0.00    6.17    0.00    0.00    0.83    0.00    0.00    0.00   73.12
Average:      19   19.52    0.00    6.39    0.00    0.00    1.39    0.00    0.00    0.00   72.70
Average:      20   20.44    0.00    6.25    0.00    0.00    0.86    0.00    0.00    0.00   72.44
Average:      21   20.49    0.00    5.85    0.00    0.00    0.83    0.00    0.00    0.00   72.82
Average:      22   19.13    0.00    6.37    0.03    0.00    1.28    0.00    0.00    0.00   73.19
Average:      23   20.05    0.00    6.36    0.00    0.00    1.22    0.00    0.00    0.00   72.37
