CPU,%usr
all,2.16
0,2.60
1,1.62
2,2.21
3,2.83
4,2.88
5,1.58
6,2.33
7,2.54
8,3.21
9,1.54
10,1.42
11,1.55
12,1.84
13,1.92
14,1.38
15,2.05
16,4.17
17,2.34
18,2.50
19,1.46
20,2.92
21,1.42
22,2.17
23,1.42
