Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2.16    0.00    0.80    0.02    0.00    0.20    0.00    0.00    0.00   96.81
Average:       0    2.60    0.00    0.66    0.00    0.00    1.28    0.00    0.00    0.00   95.46
Average:       1    1.62    0.00    0.75    0.00    0.00    0.33    0.00    0.00    0.00   97.29
Average:       2    2.21    0.00    0.88    0.00    0.00    0.08    0.00    0.00    0.00   96.83
Average:       3    2.83    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   96.17
Average:       4    2.88    0.00    0.71    0.00    0.00    0.25    0.00    0.00    0.00   96.17
Average:       5    1.58    0.00    0.83    0.00    0.00    0.25    0.00    0.00    0.00   97.34
Average:       6    2.33    0.00    0.83    0.00    0.00    0.21    0.00    0.00    0.00   96.63
Average:       7    2.54    0.00    0.75    0.00    0.00    0.37    0.00    0.00    0.00   96.34
Average:       8    3.21    0.00    0.37    0.00    0.00    0.25    0.00    0.00    0.00   96.17
Average:       9    1.54    0.00    0.67    0.00    0.00    0.25    0.00    0.00    0.00   97.54
Average:      10    1.42    0.00    0.84    0.00    0.00    0.08    0.00    0.00    0.00   97.66
Average:      11    1.55    0.00    0.84    0.00    0.00    0.13    0.00    0.00    0.00   97.49
Average:      12    1.84    0.00    0.71    0.00    0.00    0.13    0.00    0.00    0.00   97.32
Average:      13    1.92    0.00    0.92    0.38    0.00    0.08    0.00    0.00    0.00   96.70
Average:      14    1.38    0.00    1.00    0.08    0.00    0.08    0.00    0.00    0.00   97.46
Average:      15    2.05    0.00    0.92    0.00    0.00    0.00    0.00    0.00    0.00   97.04
Average:      16    4.17    0.00    0.92    0.00    0.00    0.04    0.00    0.00    0.00   94.87
Average:      17    2.34    0.00    0.79    0.00    0.00    0.04    0.00    0.00    0.00   96.83
Average:      18    2.50    0.00    0.50    0.00    0.00    0.04    0.00    0.00    0.00   96.96
Average:      19    1.46    0.00    0.96    0.00    0.00    0.17    0.00    0.00    0.00   97.42
Average:      20    2.92    0.00    0.88    0.00    0.00    0.04    0.00    0.00    0.00   96.16
Average:      21    1.42    0.00    0.92    0.00    0.00    0.13    0.00    0.00    0.00   97.54
Average:      22    2.17    0.00    0.92    0.00    0.00    0.17    0.00    0.00    0.00   96.75
Average:      23    1.42    0.00    0.88    0.00    0.00    0.13    0.00    0.00    0.00   97.57
