CPU,%usr
all,8.23
0,7.87
1,8.32
2,8.14
3,9.67
4,8.44
5,8.44
6,7.63
7,7.51
8,8.25
9,8.11
10,7.95
11,8.05
12,8.22
13,8.32
14,8.62
15,8.87
16,7.88
17,8.44
18,8.70
19,7.96
20,8.19
21,7.75
22,8.16
23,8.01
