Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   27.69    0.00   10.64    0.15    0.00    1.19    0.00    0.00    0.00   60.34
Average:       0   27.94    0.00   10.71    0.06    0.00    1.01    0.00    0.00    0.00   60.28
Average:       1   27.86    0.00   10.81    0.06    0.00    0.86    0.00    0.00    0.00   60.41
Average:       2   28.56    0.00   10.46    0.00    0.00    0.92    0.00    0.00    0.00   60.06
Average:       3   28.58    0.00   10.00    0.03    0.00    0.83    0.00    0.00    0.00   60.55
Average:       4   26.69    0.00   10.46    0.00    0.00    1.93    0.00    0.00    0.00   60.92
Average:       5   27.65    0.00   11.05    0.00    0.00    0.80    0.00    0.00    0.00   60.50
Average:       6   26.42    0.00   11.32    0.00    0.00    1.58    0.00    0.00    0.00   60.68
Average:       7   28.09    0.00   10.63    0.00    0.00    0.97    0.00    0.00    0.00   60.31
Average:       8   27.94    0.00   10.26    0.00    0.00    1.13    0.00    0.00    0.00   60.68
Average:       9   26.83    0.00   11.16    0.00    0.00    1.69    0.00    0.00    0.00   60.32
Average:      10   27.38    0.00   10.78    0.00    0.00    0.95    0.00    0.00    0.00   60.90
Average:      11   28.90    0.00    9.88    0.00    0.00    0.80    0.00    0.00    0.00   60.42
Average:      12   26.25    0.00   11.21    0.00    0.00    1.78    0.00    0.00    0.00   60.77
Average:      13   28.03    0.00   11.25    2.37    0.00    0.89    0.00    0.00    0.00   57.47
Average:      14   28.93    0.00   10.44    0.47    0.00    0.77    0.00    0.00    0.00   59.39
Average:      15   27.72    0.00   10.48    0.00    0.00    0.98    0.00    0.00    0.00   60.82
Average:      16   28.73    0.00   10.16    0.00    0.00    0.83    0.00    0.00    0.00   60.28
Average:      17   26.56    0.00   10.66    0.03    0.00    1.76    0.00    0.00    0.00   60.99
Average:      18   28.19    0.00   10.59    0.21    0.00    0.83    0.00    0.00    0.00   60.18
Average:      19   27.90    0.00   10.36    0.00    0.00    1.87    0.00    0.00    0.00   59.87
Average:      20   28.19    0.00   10.40    0.12    0.00    1.10    0.00    0.00    0.00   60.20
Average:      21   27.96    0.00   10.60    0.15    0.00    0.92    0.00    0.00    0.00   60.37
Average:      22   26.20    0.00   11.31    0.00    0.00    1.64    0.00    0.00    0.00   60.85
Average:      23   26.96    0.00   10.34    0.03    0.00    1.79    0.00    0.00    0.00   60.89
