Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   23.16    0.00    9.13    0.01    0.00    1.03    0.00    0.00    0.00   66.68
Average:       0   23.38    0.00    8.86    0.00    0.00    1.30    0.00    0.00    0.00   66.46
Average:       1   23.75    0.00    9.12    0.00    0.00    0.89    0.00    0.00    0.00   66.24
Average:       2   23.35    0.00    8.84    0.00    0.00    0.77    0.00    0.00    0.00   67.04
Average:       3   23.37    0.00    9.20    0.00    0.00    0.89    0.00    0.00    0.00   66.54
Average:       4   23.14    0.00    8.85    0.00    0.00    1.36    0.00    0.00    0.00   66.66
Average:       5   23.16    0.00    9.07    0.00    0.00    0.83    0.00    0.00    0.00   66.93
Average:       6   22.41    0.00    9.16    0.00    0.00    1.31    0.00    0.00    0.00   67.12
Average:       7   23.64    0.00    8.84    0.00    0.00    0.68    0.00    0.00    0.00   66.84
Average:       8   23.62    0.00    9.34    0.00    0.00    0.83    0.00    0.00    0.00   66.21
Average:       9   22.90    0.00    8.89    0.00    0.00    1.51    0.00    0.00    0.00   66.70
Average:      10   23.48    0.00    9.32    0.00    0.00    0.74    0.00    0.00    0.00   66.46
Average:      11   23.00    0.00    9.30    0.00    0.00    0.77    0.00    0.00    0.00   66.92
Average:      12   21.97    0.00    9.10    0.00    0.00    1.69    0.00    0.00    0.00   67.23
Average:      13   23.72    0.00    8.94    0.09    0.00    0.80    0.00    0.00    0.00   66.45
Average:      14   22.70    0.00    9.51    0.03    0.00    0.83    0.00    0.00    0.00   66.92
Average:      15   23.81    0.00    8.79    0.03    0.00    0.83    0.00    0.00    0.00   66.54
Average:      16   22.97    0.00    9.40    0.00    0.00    0.80    0.00    0.00    0.00   66.83
Average:      17   22.79    0.00    9.36    0.00    0.00    1.48    0.00    0.00    0.00   66.37
Average:      18   23.60    0.00    9.20    0.00    0.00    0.77    0.00    0.00    0.00   66.43
Average:      19   22.94    0.00    8.86    0.00    0.00    1.34    0.00    0.00    0.00   66.86
Average:      20   23.24    0.00    9.70    0.00    0.00    0.65    0.00    0.00    0.00   66.41
Average:      21   23.11    0.00    8.97    0.00    0.00    0.83    0.00    0.00    0.00   67.09
Average:      22   22.34    0.00    9.48    0.00    0.00    1.31    0.00    0.00    0.00   66.87
Average:      23   23.52    0.00    9.03    0.00    0.00    1.42    0.00    0.00    0.00   66.02
