num_of_users,all,core:0,core:1,core:2,core:3,core:4,core:5,core:6,core:7,core:8,core:9,core:10,core:11,core:12,core:13,core:14,core:15,core:16,core:17,core:18,core:19,core:20,core:21,core:22,core:23
100,7.28,7.17,7.76,7.05,7.18,7.31,7.00,7.34,7.88,7.00,7.10,7.01,6.98,7.09,7.02,7.75,6.98,7.12,9.50,7.13,7.21,6.75,7.00,7.04,7.22
200,8.23,7.87,8.32,8.14,9.67,8.44,8.44,7.63,7.51,8.25,8.11,7.95,8.05,8.22,8.32,8.62,8.87,7.88,8.44,8.70,7.96,8.19,7.75,8.16,8.01
300,18.36,18.27,18.45,18.11,18.43,18.37,19.04,18.27,18.23,17.37,18.10,18.17,18.61,18.07,18.69,19.25,18.52,19.50,17.35,17.95,18.83,19.64,18.15,17.75,17.44
400,23.16,23.38,23.75,23.35,23.37,23.14,23.16,22.41,23.64,23.62,22.90,23.48,23.00,21.97,23.72,22.70,23.81,22.97,22.79,23.60,22.94,23.24,23.11,22.34,23.52
500,27.69,27.94,27.86,28.56,28.58,26.69,27.65,26.42,28.09,27.94,26.83,27.38,28.90,26.25,28.03,28.93,27.72,28.73,26.56,28.19,27.90,28.19,27.96,26.20,26.96
