CPU,%usr
all,18.36
0,18.27
1,18.45
2,18.11
3,18.43
4,18.37
5,19.04
6,18.27
7,18.23
8,17.37
9,18.10
10,18.17
11,18.61
12,18.07
13,18.69
14,19.25
15,18.52
16,19.50
17,17.35
18,17.95
19,18.83
20,19.64
21,18.15
22,17.75
23,17.44
