Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   16.96    0.00    5.34    0.25    0.00    1.31    0.00    0.00    0.00   76.14
Average:       0   18.02    0.00    4.57    0.00    0.00    3.59    0.00    0.00    0.00   73.81
Average:       1   16.50    0.00    4.80    0.09    0.00    2.62    0.00    0.00    0.00   75.99
Average:       2   15.79    0.00    5.04    0.00    0.00    2.14    0.00    0.00    0.00   77.03
Average:       3   18.94    0.00    5.22    0.03    0.00    2.01    0.00    0.00    0.00   73.79
Average:       4   12.31    0.00    5.28    0.06    0.00    1.67    0.00    0.00    0.00   80.69
Average:       5   16.97    0.00    5.28    0.15    0.00    1.47    0.00    0.00    0.00   76.13
Average:       6   16.03    0.00    5.19    0.00    0.00    1.83    0.00    0.00    0.00   76.96
Average:       7   19.98    0.00    5.28    0.00    0.00    1.13    0.00    0.00    0.00   73.61
Average:       8   16.95    0.00    5.61    0.00    0.00    1.20    0.00    0.00    0.00   76.23
Average:       9   13.09    0.00    4.98    0.00    0.00    1.51    0.00    0.00    0.00   80.42
Average:      10   16.90    0.00    6.07    0.03    0.00    0.80    0.00    0.00    0.00   76.21
Average:      11   18.39    0.00    5.82    0.00    0.00    0.98    0.00    0.00    0.00   74.81
Average:      12   14.93    0.00    5.32    0.00    0.00    1.39    0.00    0.00    0.00   78.36
Average:      13   20.81    0.00    4.89    3.12    0.00    0.91    0.00    0.00    0.00   70.26
Average:      14   19.90    0.00    5.50    1.19    0.00    0.53    0.00    0.00    0.00   72.88
Average:      15   17.14    0.00    5.77    0.29    0.00    0.65    0.00    0.00    0.00   76.14
Average:      16   20.54    0.00    5.71    0.41    0.00    0.74    0.00    0.00    0.00   72.60
Average:      17   14.31    0.00    5.23    0.06    0.00    1.13    0.00    0.00    0.00   79.28
Average:      18   17.02    0.00    5.61    0.33    0.00    0.71    0.00    0.00    0.00   76.33
Average:      19   15.59    0.00    4.91    0.06    0.00    1.04    0.00    0.00    0.00   78.40
Average:      20   16.44    0.00    6.18    0.00    0.00    0.65    0.00    0.00    0.00   76.74
Average:      21   17.76    0.00    6.32    0.09    0.00    0.65    0.00    0.00    0.00   75.18
Average:      22   16.72    0.00    5.00    0.03    0.00    0.98    0.00    0.00    0.00   77.28
Average:      23   16.03    0.00    4.63    0.09    0.00    1.07    0.00    0.00    0.00   78.18
