CPU,%usr
all,16.96
0,18.02
1,16.50
2,15.79
3,18.94
4,12.31
5,16.97
6,16.03
7,19.98
8,16.95
9,13.09
10,16.90
11,18.39
12,14.93
13,20.81
14,19.90
15,17.14
16,20.54
17,14.31
18,17.02
19,15.59
20,16.44
21,17.76
22,16.72
23,16.03
