Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   12.33    0.00    4.09    0.09    0.00    1.02    0.00    0.00    0.00   82.46
Average:       0   11.42    0.00    3.82    0.14    0.00    3.79    0.00    0.00    0.00   80.84
Average:       1    9.88    0.00    3.72    0.00    0.00    2.41    0.00    0.00    0.00   84.00
Average:       2   12.45    0.00    4.25    0.00    0.00    1.69    0.00    0.00    0.00   81.62
Average:       3   10.68    0.00    4.81    0.00    0.00    1.26    0.00    0.00    0.00   83.25
Average:       4   10.76    0.00    3.66    0.00    0.00    1.44    0.00    0.00    0.00   84.14
Average:       5   14.44    0.00    4.15    0.06    0.00    0.94    0.00    0.00    0.00   80.42
Average:       6   12.60    0.00    3.37    0.00    0.00    1.52    0.00    0.00    0.00   82.50
Average:       7    9.89    0.00    4.01    0.00    0.00    0.89    0.00    0.00    0.00   85.21
Average:       8   13.87    0.00    4.32    0.00    0.00    0.76    0.00    0.00    0.00   81.05
Average:       9   12.12    0.00    3.33    0.00    0.00    1.06    0.00    0.00    0.00   83.49
Average:      10   13.68    0.00    3.96    0.00    0.00    0.65    0.00    0.00    0.00   81.71
Average:      11   15.02    0.00    4.02    0.00    0.00    0.62    0.00    0.00    0.00   80.34
Average:      12   10.44    0.00    4.05    0.00    0.00    0.74    0.00    0.00    0.00   84.77
Average:      13   12.99    0.00    4.39    1.27    0.00    0.53    0.00    0.00    0.00   80.82
Average:      14   13.82    0.00    4.98    0.38    0.00    0.38    0.00    0.00    0.00   80.43
Average:      15   12.97    0.00    4.20    0.00    0.00    0.47    0.00    0.00    0.00   82.35
Average:      16   14.11    0.00    4.21    0.32    0.00    0.56    0.00    0.00    0.00   80.80
Average:      17   10.14    0.00    4.11    0.00    0.00    0.80    0.00    0.00    0.00   84.95
Average:      18   12.64    0.00    4.52    0.00    0.00    0.47    0.00    0.00    0.00   82.37
Average:      19   13.31    0.00    4.21    0.06    0.00    0.65    0.00    0.00    0.00   81.77
Average:      20   10.96    0.00    4.43    0.00    0.00    0.56    0.00    0.00    0.00   84.05
Average:      21   14.42    0.00    4.19    0.00    0.00    0.47    0.00    0.00    0.00   80.92
Average:      22   11.18    0.00    3.65    0.00    0.00    0.80    0.00    0.00    0.00   84.38
Average:      23   12.32    0.00    3.88    0.00    0.00    0.76    0.00    0.00    0.00   83.03
