CPU,%usr
all,18.60
0,19.60
1,21.04
2,22.85
3,15.85
4,15.18
5,20.38
6,18.87
7,17.96
8,20.13
9,14.88
10,21.34
11,23.22
12,12.13
13,17.41
14,18.57
15,16.23
16,22.57
17,18.39
18,16.59
19,19.33
20,16.14
21,25.83
22,17.66
23,14.08
