num_of_users,all,core:0,core:1,core:2,core:3,core:4,core:5,core:6,core:7,core:8,core:9,core:10,core:11,core:12,core:13,core:14,core:15,core:16,core:17,core:18,core:19,core:20,core:21,core:22,core:23
100,6.76,6.26,6.44,5.23,7.84,6.67,5.94,7.40,7.16,4.97,6.53,6.36,6.90,5.76,8.23,9.40,6.20,9.40,9.30,7.31,5.98,8.23,4.84,4.52,5.26
200,12.33,11.42,9.88,12.45,10.68,10.76,14.44,12.60,9.89,13.87,12.12,13.68,15.02,10.44,12.99,13.82,12.97,14.11,10.14,12.64,13.31,10.96,14.42,11.18,12.32
300,16.96,18.02,16.50,15.79,18.94,12.31,16.97,16.03,19.98,16.95,13.09,16.90,18.39,14.93,20.81,19.90,17.14,20.54,14.31,17.02,15.59,16.44,17.76,16.72,16.03
400,18.16,19.64,20.64,18.05,16.45,11.81,23.09,16.74,20.21,19.46,16.96,19.32,20.19,11.02,15.67,15.58,22.70,22.82,14.04,21.77,16.69,15.35,21.82,18.24,17.56
500,18.60,19.60,21.04,22.85,15.85,15.18,20.38,18.87,17.96,20.13,14.88,21.34,23.22,12.13,17.41,18.57,16.23,22.57,18.39,16.59,19.33,16.14,25.83,17.66,14.08
