num_of_users,all,core:0,core:1,core:2,core:3,core:4,core:5,core:6,core:7,core:8,core:9,core:10,core:11,core:12,core:13,core:14,core:15,core:16,core:17,core:18,core:19,core:20,core:21,core:22,core:23
20,1.62,1.40,1.44,1.82,0.80,1.65,1.83,1.94,1.53,1.47,1.74,1.94,1.06,2.33,2.36,2.15,1.97,1.56,2.53,1.00,1.65,1.03,1.83,0.77,0.97
40,2.98,3.26,3.72,3.61,3.30,2.20,3.05,4.03,3.36,1.97,5.01,2.82,2.33,2.91,1.53,1.97,3.26,2.42,3.42,4.24,3.16,4.30,1.12,2.48,2.06
60,4.39,5.67,5.24,3.63,4.61,4.33,3.73,4.97,4.54,4.19,3.66,4.19,4.71,3.63,5.48,5.65,5.41,3.63,4.76,4.15,2.63,3.80,5.68,4.16,2.89
80,5.60,5.15,4.56,8.22,5.87,5.02,5.32,5.01,4.44,4.15,5.11,7.23,4.24,5.03,6.83,5.00,5.70,8.47,5.73,7.22,6.55,3.69,6.51,4.72,4.59
100,6.71,5.20,7.36,7.57,5.42,7.91,5.81,7.52,6.79,9.30,4.54,8.72,9.00,8.23,5.54,7.83,6.82,5.25,5.55,6.15,6.64,5.89,8.24,4.27,5.38
