Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    6.71    0.00    2.31    0.04    0.00    0.59    0.00    0.00    0.00   90.35
Average:       0    5.20    0.00    2.04    0.00    0.00    2.79    0.00    0.00    0.00   89.97
Average:       1    7.36    0.00    2.54    0.00    0.00    1.05    0.00    0.00    0.00   89.04
Average:       2    7.57    0.00    2.30    0.00    0.00    0.59    0.00    0.00    0.00   89.55
Average:       3    5.42    0.00    2.40    0.00    0.00    0.82    0.00    0.00    0.00   91.36
Average:       4    7.91    0.00    1.96    0.00    0.00    1.05    0.00    0.00    0.00   89.07
Average:       5    5.81    0.00    2.76    0.00    0.00    0.41    0.00    0.00    0.00   91.01
Average:       6    7.52    0.00    1.86    0.00    0.00    0.68    0.00    0.00    0.00   89.95
Average:       7    6.79    0.00    2.06    0.00    0.00    0.59    0.00    0.00    0.00   90.56
Average:       8    9.30    0.00    2.24    0.00    0.00    0.47    0.00    0.00    0.00   87.99
Average:       9    4.54    0.00    2.42    0.00    0.00    0.47    0.00    0.00    0.00   92.57
Average:      10    8.72    0.00    2.39    0.00    0.00    0.35    0.00    0.00    0.00   88.54
Average:      11    9.00    0.00    2.33    0.06    0.00    0.41    0.00    0.00    0.00   88.20
Average:      12    8.23    0.00    2.17    0.00    0.00    0.53    0.00    0.00    0.00   89.07
Average:      13    5.54    0.00    2.41    0.68    0.00    0.35    0.00    0.00    0.00   91.02
Average:      14    7.83    0.00    2.30    0.00    0.00    0.32    0.00    0.00    0.00   89.55
Average:      15    6.82    0.00    3.38    0.00    0.00    0.29    0.00    0.00    0.00   89.50
Average:      16    5.25    0.00    2.33    0.09    0.00    0.30    0.00    0.00    0.00   92.03
Average:      17    5.55    0.00    2.18    0.00    0.00    0.35    0.00    0.00    0.00   91.91
Average:      18    6.15    0.00    2.21    0.00    0.00    0.24    0.00    0.00    0.00   91.40
Average:      19    6.64    0.00    2.27    0.00    0.00    0.41    0.00    0.00    0.00   90.68
Average:      20    5.89    0.00    2.33    0.00    0.00    0.32    0.00    0.00    0.00   91.46
Average:      21    8.24    0.00    2.47    0.03    0.00    0.32    0.00    0.00    0.00   88.94
Average:      22    4.27    0.00    2.30    0.00    0.00    0.41    0.00    0.00    0.00   93.02
Average:      23    5.38    0.00    1.85    0.00    0.00    0.56    0.00    0.00    0.00   92.21
