CPU,%usr
all,2.98
0,3.26
1,3.72
2,3.61
3,3.30
4,2.20
5,3.05
6,4.03
7,3.36
8,1.97
9,5.01
10,2.82
11,2.33
12,2.91
13,1.53
14,1.97
15,3.26
16,2.42
17,3.42
18,4.24
19,3.16
20,4.30
21,1.12
22,2.48
23,2.06
