Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2.98    0.00    0.95    0.03    0.00    0.28    0.00    0.00    0.00   95.75
Average:       0    3.26    0.00    0.81    0.00    0.00    1.51    0.00    0.00    0.00   94.42
Average:       1    3.72    0.00    1.11    0.00    0.00    0.62    0.00    0.00    0.00   94.55
Average:       2    3.61    0.00    1.03    0.00    0.00    0.50    0.00    0.00    0.00   94.87
Average:       3    3.30    0.00    0.80    0.00    0.00    0.24    0.00    0.00    0.00   95.67
Average:       4    2.20    0.00    0.97    0.00    0.00    0.50    0.00    0.00    0.00   96.33
Average:       5    3.05    0.00    0.70    0.00    0.00    0.53    0.00    0.00    0.00   95.71
Average:       6    4.03    0.00    0.73    0.00    0.00    0.29    0.00    0.00    0.00   94.95
Average:       7    3.36    0.00    0.82    0.00    0.00    0.12    0.00    0.00    0.00   95.70
Average:       8    1.97    0.00    1.09    0.21    0.00    0.24    0.00    0.00    0.00   96.50
Average:       9    5.01    0.00    1.00    0.00    0.00    0.18    0.00    0.00    0.00   93.82
Average:      10    2.82    0.00    1.06    0.00    0.00    0.18    0.00    0.00    0.00   95.94
Average:      11    2.33    0.00    1.15    0.00    0.00    0.06    0.00    0.00    0.00   96.46
Average:      12    2.91    0.00    1.15    0.00    0.00    0.18    0.00    0.00    0.00   95.77
Average:      13    1.53    0.00    0.97    0.32    0.00    0.12    0.00    0.00    0.00   97.06
Average:      14    1.97    0.00    1.09    0.00    0.00    0.18    0.00    0.00    0.00   96.76
Average:      15    3.26    0.00    1.15    0.00    0.00    0.06    0.00    0.00    0.00   95.53
Average:      16    2.42    0.00    0.97    0.09    0.00    0.12    0.00    0.00    0.00   96.40
Average:      17    3.42    0.00    1.00    0.00    0.00    0.21    0.00    0.00    0.00   95.38
Average:      18    4.24    0.00    0.77    0.00    0.00    0.12    0.00    0.00    0.00   94.88
Average:      19    3.16    0.00    0.86    0.00    0.00    0.24    0.00    0.00    0.00   95.75
Average:      20    4.30    0.00    0.91    0.00    0.00    0.09    0.00    0.00    0.00   94.70
Average:      21    1.12    0.00    1.06    0.00    0.00    0.12    0.00    0.00    0.00   97.70
Average:      22    2.48    0.00    0.80    0.00    0.00    0.24    0.00    0.00    0.00   96.49
Average:      23    2.06    0.00    0.94    0.00    0.00    0.21    0.00    0.00    0.00   96.79
