CPU,%usr
all,6.71
0,5.20
1,7.36
2,7.57
3,5.42
4,7.91
5,5.81
6,7.52
7,6.79
8,9.30
9,4.54
10,8.72
11,9.00
12,8.23
13,5.54
14,7.83
15,6.82
16,5.25
17,5.55
18,6.15
19,6.64
20,5.89
21,8.24
22,4.27
23,5.38
