CPU,%usr
all,2.34
0,2.18
1,1.91
2,2.83
3,2.42
4,1.42
5,4.05
6,1.25
7,2.22
8,4.51
9,1.38
10,3.00
11,2.71
12,0.96
13,3.30
14,1.80
15,2.08
16,2.63
17,2.89
18,1.75
19,1.84
20,2.01
21,2.71
22,3.22
23,1.09
