CPU,%usr
all,2.38
0,3.47
1,1.71
2,0.86
3,3.92
4,1.79
5,1.72
6,2.00
7,2.07
8,3.36
9,1.00
10,1.57
11,2.87
12,1.72
13,5.00
14,5.02
15,2.07
16,1.43
17,4.15
18,1.15
19,2.14
20,1.29
21,3.72
22,1.79
23,1.43
