Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,perf_check,12407,636,210.0,1066.2897181333153,22.09391799988225,22049.838590000945,8737.23067623116,314.93273382168786,16.143888023744136,210,330,420,560,1200,5000,16000,18000,20000,22000,22000
,Aggregated,12407,636,210.0,1066.2897181333153,22.09391799988225,22049.838590000945,8737.23067623116,314.93273382168786,16.143888023744136,210,330,420,560,1200,5000,16000,18000,20000,22000,22000
