CPU,%usr
all,2.45
0,2.55
1,0.95
2,1.25
3,3.12
4,1.09
5,2.17
6,1.87
7,2.59
8,4.38
9,2.21
10,3.18
11,2.59
12,1.50
13,5.05
14,1.88
15,4.79
16,1.25
17,2.30
18,1.21
19,1.80
20,4.14
21,3.13
22,2.92
23,0.92
