CPU,%usr
all,1.57
0,1.16
1,2.00
2,1.50
3,1.00
4,1.25
5,1.67
6,0.88
7,0.67
8,1.00
9,2.71
10,0.75
11,1.25
12,2.17
13,3.05
14,2.38
15,0.88
16,2.21
17,2.55
18,0.58
19,1.59
20,2.25
21,0.88
22,1.88
23,1.29
