CPU,%usr
all,7.62
0,7.31
1,7.28
2,8.10
3,7.63
4,7.54
5,7.20
6,7.56
7,7.91
8,7.45
9,7.43
10,8.98
11,8.23
12,7.80
13,7.98
14,7.32
15,7.59
16,7.62
17,7.42
18,7.17
19,7.42
20,7.67
21,7.94
22,7.24
23,7.09
