CPU,%usr
all,7.17
0,7.62
1,7.09
2,7.07
3,6.50
4,7.74
5,7.14
6,6.71
7,6.79
8,7.02
9,7.09
10,7.17
11,7.44
12,6.77
13,7.63
14,7.44
15,7.54
16,6.96
17,7.11
18,7.72
19,7.56
20,7.23
21,7.20
22,6.77
23,6.74
