Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   22.56    0.00    7.21    0.03    0.00    1.02    0.00    0.00    0.00   69.18
Average:       0   22.85    0.00    6.98    0.00    0.00    0.98    0.00    0.00    0.00   69.19
Average:       1   22.57    0.00    7.39    0.00    0.00    0.77    0.00    0.00    0.00   69.27
Average:       2   23.02    0.00    6.89    0.00    0.00    0.83    0.00    0.00    0.00   69.26
Average:       3   22.69    0.00    7.46    0.00    0.00    0.77    0.00    0.00    0.00   69.08
Average:       4   22.71    0.00    6.57    0.00    0.00    1.37    0.00    0.00    0.00   69.35
Average:       5   22.52    0.00    7.58    0.00    0.00    0.92    0.00    0.00    0.00   68.98
Average:       6   22.40    0.00    7.00    0.00    0.00    1.28    0.00    0.00    0.00   69.32
Average:       7   23.23    0.00    6.99    0.00    0.00    0.65    0.00    0.00    0.00   69.13
Average:       8   22.76    0.00    7.07    0.00    0.00    0.80    0.00    0.00    0.00   69.36
Average:       9   21.94    0.00    7.11    0.00    0.00    1.58    0.00    0.00    0.00   69.37
Average:      10   22.58    0.00    7.31    0.00    0.00    0.92    0.00    0.00    0.00   69.19
Average:      11   22.61    0.00    7.38    0.00    0.00    0.80    0.00    0.00    0.00   69.21
Average:      12   21.70    0.00    7.45    0.00    0.00    1.54    0.00    0.00    0.00   69.31
Average:      13   23.00    0.00    7.15    0.63    0.00    0.69    0.00    0.00    0.00   68.54
Average:      14   22.92    0.00    7.10    0.00    0.00    0.86    0.00    0.00    0.00   69.12
Average:      15   23.38    0.00    7.21    0.00    0.00    0.71    0.00    0.00    0.00   68.69
Average:      16   23.25    0.00    7.23    0.00    0.00    0.74    0.00    0.00    0.00   68.78
Average:      17   21.66    0.00    7.07    0.00    0.00    1.46    0.00    0.00    0.00   69.81
Average:      18   23.10    0.00    7.26    0.00    0.00    0.80    0.00    0.00    0.00   68.84
Average:      19   21.93    0.00    7.40    0.00    0.00    1.49    0.00    0.00    0.00   69.18
Average:      20   22.77    0.00    7.56    0.00    0.00    0.65    0.00    0.00    0.00   69.02
Average:      21   22.73    0.00    6.88    0.00    0.00    0.92    0.00    0.00    0.00   69.47
Average:      22   21.51    0.00    7.69    0.00    0.00    1.43    0.00    0.00    0.00   69.37
Average:      23   21.62    0.00    7.38    0.03    0.00    1.45    0.00    0.00    0.00   69.51
