num_of_users,all,core:0,core:1,core:2,core:3,core:4,core:5,core:6,core:7,core:8,core:9,core:10,core:11,core:12,core:13,core:14,core:15,core:16,core:17,core:18,core:19,core:20,core:21,core:22,core:23
100,7.17,7.62,7.09,7.07,6.50,7.74,7.14,6.71,6.79,7.02,7.09,7.17,7.44,6.77,7.63,7.44,7.54,6.96,7.11,7.72,7.56,7.23,7.20,6.77,6.74
200,13.98,13.63,13.59,13.17,13.90,14.45,13.92,13.53,13.92,13.57,13.82,13.90,14.35,13.65,14.92,14.74,14.01,14.34,13.43,14.80,14.88,13.92,14.02,13.37,13.64
300,7.62,7.31,7.28,8.10,7.63,7.54,7.20,7.56,7.91,7.45,7.43,8.98,8.23,7.80,7.98,7.32,7.59,7.62,7.42,7.17,7.42,7.67,7.94,7.24,7.09
400,22.56,22.85,22.57,23.02,22.69,22.71,22.52,22.40,23.23,22.76,21.94,22.58,22.61,21.70,23.00,22.92,23.38,23.25,21.66,23.10,21.93,22.77,22.73,21.51,21.62
500,27.63,27.90,27.66,28.13,27.54,27.86,28.57,26.89,28.25,28.18,27.52,27.71,27.44,26.08,28.30,27.49,27.59,27.36,27.71,27.81,27.23,27.40,27.96,26.79,27.67
