CPU,%usr
all,1.67
0,1.53
1,0.87
2,2.13
3,1.88
4,1.92
5,1.71
6,0.75
7,0.88
8,1.46
9,1.33
10,0.58
11,1.59
12,1.25
13,3.75
14,2.38
15,1.42
16,1.09
17,1.71
18,2.50
19,2.24
20,1.59
21,2.25
22,2.21
23,1.04
