CPU,%usr
all,2.34
0,2.69
1,2.35
2,2.07
3,2.14
4,1.08
5,3.37
6,1.29
7,1.58
8,1.21
9,2.57
10,3.51
11,1.00
12,0.43
13,4.02
14,2.36
15,3.29
16,4.43
17,1.01
18,2.14
19,2.79
20,1.57
21,2.92
22,3.23
23,3.22
