CPU,%usr
all,29.57
0,28.26
1,28.78
2,27.89
3,30.04
4,28.82
5,31.49
6,29.31
7,29.88
8,29.50
9,29.57
10,28.52
11,30.09
12,28.45
13,30.52
14,29.58
15,30.07
16,30.44
17,30.16
18,29.28
19,28.66
20,30.87
21,29.89
22,29.60
23,29.99
