CPU,%usr
all,1.83
0,1.32
1,1.16
2,2.46
3,2.08
4,1.05
5,2.25
6,1.46
7,1.50
8,1.29
9,1.38
10,1.58
11,1.96
12,1.76
13,2.74
14,1.25
15,1.50
16,2.38
17,1.25
18,3.01
19,3.21
20,2.75
21,1.51
22,1.17
23,2.00
