num_of_users,all,core:0,core:1,core:2,core:3,core:4,core:5,core:6,core:7,core:8,core:9,core:10,core:11,core:12,core:13,core:14,core:15,core:16,core:17,core:18,core:19,core:20,core:21,core:22,core:23
20,1.84,0.91,3.08,1.17,3.08,1.25,0.71,2.05,1.67,1.75,1.21,1.75,3.79,2.24,2.84,1.88,3.46,1.33,2.30,1.08,0.63,2.29,1.50,1.37,0.75
30,2.20,1.57,0.71,2.37,1.87,2.62,2.42,1.71,4.28,3.30,2.21,2.54,2.46,2.25,2.46,3.17,3.25,1.62,1.34,4.18,1.84,1.04,1.88,1.00,0.75
