CPU,%usr
all,2.20
0,1.57
1,0.71
2,2.37
3,1.87
4,2.62
5,2.42
6,1.71
7,4.28
8,3.30
9,2.21
10,2.54
11,2.46
12,2.25
13,2.46
14,3.17
15,3.25
16,1.62
17,1.34
18,4.18
19,1.84
20,1.04
21,1.88
22,1.00
23,0.75
