Responsetime
23.0
23.0
23.0
23.0
23.0
38.0
38.0
39.0
41.0
45.0
56.0
57.0
57.0
59.0
62.0
73.0
73.0
74.0
77.0
80.0
21.0
21.0
22.0
22.0
23.0
40.0
38.0
38.0
38.0
39.0
38.0
37.0
37.0
39.0
39.0
41.0
42.0
45.0
44.0
41.0
21.0
20.0
21.0
22.0
23.0
24.0
21.0
24.0
24.0
23.0
27.0
28.0
28.0
30.0
29.0
26.0
30.0
26.0
28.0
30.0
22.0
22.0
21.0
22.0
22.0
23.0
23.0
23.0
23.0
22.0
27.0
25.0
24.0
25.0
25.0
24.0
23.0
23.0
25.0
24.0
22.0
20.0
21.0
22.0
23.0
22.0
34.0
33.0
35.0
35.0
26.0
39.0
39.0
35.0
37.0
28.0
39.0
36.0
41.0
38.0
22.0
21.0
22.0
22.0
22.0
26.0
25.0
27.0
24.0
26.0
26.0
25.0
25.0
26.0
26.0
27.0
29.0
28.0
29.0
18.0
21.0
20.0
21.0
22.0
21.0
21.0
25.0
29.0
28.0
29.0
31.0
26.0
30.0
32.0
30.0
32.0
27.0
19.0
20.0
22.0
20.0
20.0
21.0
22.0
22.0
23.0
24.0
39.0
40.0
40.0
41.0
46.0
58.0
59.0
59.0
60.0
65.0
76.0
77.0
77.0
22.0
22.0
22.0
23.0
24.0
41.0
42.0
43.0
42.0
44.0
57.0
58.0
59.0
60.0
63.0
75.0
76.0
77.0
79.0
70.0
22.0
22.0
21.0
22.0
21.0
23.0
24.0
25.0
24.0
25.0
28.0
27.0
29.0
31.0
27.0
24.0
26.0
27.0
30.0
28.0
21.0
21.0
22.0
22.0
23.0
21.0
28.0
22.0
23.0
23.0
29.0
26.0
30.0
28.0
27.0
30.0
27.0
28.0
28.0
27.0
22.0
22.0
22.0
23.0
24.0
20.0
20.0
22.0
20.0
23.0
24.0
25.0
25.0
27.0
29.0
21.0
19.0
22.0
22.0
24.0
21.0
21.0
21.0
21.0
21.0
18.0
22.0
24.0
20.0
22.0
20.0
26.0
28.0
28.0
29.0
19.0
23.0
25.0
25.0
27.0
21.0
22.0
20.0
22.0
22.0
29.0
19.0
19.0
20.0
20.0
24.0
27.0
27.0
21.0
28.0
26.0
30.0
26.0
29.0
26.0
22.0
22.0
22.0
23.0
23.0
35.0
22.0
22.0
21.0
22.0
22.0
36.0
19.0
18.0
19.0
20.0
21.0
19.0
20.0
22.0
21.0
21.0
22.0
35.0
19.0
19.0
19.0
19.0
26.0
25.0
19.0
19.0
19.0
19.0
23.0
18.0
22.0
23.0
23.0
23.0
24.0
39.0
20.0
20.0
19.0
20.0
22.0
19.0
20.0
20.0
19.0
21.0
32.0
33.0
20.0
22.0
23.0
35.0
32.0
20.0
22.0
22.0
22.0
23.0
23.0
37.0
39.0
39.0
39.0
38.0
54.0
45.0
19.0
19.0
20.0
21.0
27.0
32.0
33.0
34.0
34.0
36.0
29.0
28.0
31.0
32.0
37.0
26.0
27.0
31.0
22.0
21.0
20.0
21.0
22.0
20.0
19.0
19.0
22.0
22.0
31.0
35.0
19.0
19.0
20.0
32.0
23.0
35.0
26.0
28.0
37.0
35.0
24.0
24.0
26.0
37.0
32.0
29.0
30.0
26.0
21.0
22.0
21.0
22.0
22.0
19.0
20.0
20.0
19.0
20.0
23.0
24.0
25.0
28.0
28.0
27.0
26.0
28.0
29.0
30.0
29.0
28.0
27.0
29.0
31.0
29.0
27.0
29.0
29.0
30.0
22.0
22.0
23.0
23.0
23.0
32.0
28.0
32.0
28.0
31.0
26.0
27.0
34.0
27.0
28.0
30.0
30.0
31.0
31.0
32.0
35.0
31.0
31.0
31.0
31.0
37.0
35.0
36.0
33.0
34.0
22.0
21.0
20.0
21.0
22.0
21.0
20.0
21.0
21.0
22.0
22.0
38.0
40.0
39.0
40.0
41.0
54.0
57.0
57.0
58.0
60.0
73.0
73.0
75.0
75.0
76.0
88.0
91.0
92.0
93.0
21.0
22.0
23.0
22.0
24.0
40.0
40.0
41.0
41.0
42.0
58.0
58.0
59.0
60.0
62.0
77.0
79.0
79.0
79.0
80.0
96.0
96.0
97.0
89.0
91.0
105.0
97.0
95.0
95.0
96.0
21.0
22.0
22.0
23.0
23.0
31.0
23.0
33.0
25.0
26.0
39.0
35.0
35.0
33.0
34.0
42.0
42.0
43.0
41.0
44.0
38.0
41.0
42.0
42.0
43.0
37.0
42.0
39.0
40.0
41.0
20.0
21.0
22.0
23.0
23.0
28.0
29.0
30.0
26.0
32.0
27.0
27.0
24.0
25.0
26.0
26.0
26.0
22.0
23.0
22.0
27.0
23.0
24.0
26.0
27.0
30.0
27.0
26.0
27.0
29.0
23.0
22.0
22.0
22.0
23.0
24.0
23.0
24.0
24.0
24.0
26.0
22.0
25.0
24.0
26.0
22.0
23.0
24.0
27.0
27.0
29.0
31.0
26.0
27.0
28.0
23.0
31.0
27.0
26.0
27.0
23.0
22.0
22.0
22.0
23.0
28.0
22.0
24.0
24.0
29.0
23.0
24.0
26.0
26.0
26.0
26.0
27.0
29.0
27.0
28.0
25.0
27.0
27.0
27.0
28.0
25.0
27.0
26.0
25.0
26.0
22.0
20.0
21.0
22.0
22.0
19.0
20.0
22.0
21.0
22.0
23.0
24.0
22.0
26.0
24.0
20.0
20.0
23.0
24.0
26.0
22.0
22.0
25.0
26.0
27.0
25.0
25.0
20.0
21.0
20.0
22.0
21.0
21.0
22.0
22.0
20.0
20.0
19.0
20.0
21.0
20.0
21.0
21.0
22.0
22.0
37.0
40.0
37.0
38.0
38.0
20.0
20.0
21.0
22.0
22.0
38.0
31.0
40.0
18.0
20.0
22.0
22.0
22.0
22.0
23.0
40.0
36.0
37.0
42.0
37.0
29.0
27.0
27.0
28.0
28.0
24.0
30.0
25.0
26.0
27.0
20.0
20.0
20.0
20.0
20.0
22.0
23.0
22.0
23.0
23.0
22.0
21.0
22.0
23.0
22.0
20.0
29.0
22.0
23.0
28.0
29.0
27.0
29.0
30.0
36.0
31.0
31.0
34.0
34.0
39.0
20.0
20.0
21.0
20.0
22.0
29.0
23.0
25.0
29.0
28.0
21.0
23.0
21.0
22.0
23.0
21.0
22.0
24.0
23.0
26.0
20.0
22.0
23.0
23.0
24.0
32.0
33.0
29.0
29.0
25.0
20.0
21.0
22.0
20.0
20.0
32.0
32.0
36.0
38.0
39.0
