CPU,%usr
all,2.28
0,1.32
1,3.91
2,0.70
3,2.25
4,2.74
5,1.71
6,0.79
7,1.75
8,3.92
9,3.58
10,4.34
11,1.13
12,1.29
13,2.09
14,2.55
15,2.12
16,4.34
17,0.96
18,1.88
19,2.71
20,3.42
21,2.04
22,1.96
23,1.13
