Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    3.09    0.00    1.13    0.63    0.00    0.29    0.00    0.00    0.00   94.85
Average:       0    3.23    0.00    0.70    0.00    0.00    1.97    0.00    0.00    0.00   94.10
Average:       1    2.84    0.00    0.71    0.00    0.00    0.85    0.00    0.00    0.00   95.59
Average:       2    2.36    0.00    1.14    0.00    0.00    0.21    0.00    0.00    0.00   96.28
Average:       3    4.57    0.00    0.93    0.00    0.00    0.36    0.00    0.00    0.00   94.14
Average:       4    2.22    0.00    1.29    0.00    0.00    0.36    0.00    0.00    0.00   96.13
Average:       5    1.36    0.00    1.14    0.00    0.00    0.21    0.00    0.00    0.00   97.28
Average:       6    2.35    0.00    1.00    0.00    0.00    0.29    0.00    0.00    0.00   96.36
Average:       7    4.01    0.00    1.22    0.00    0.00    0.07    0.00    0.00    0.00   94.70
Average:       8    1.65    0.00    0.79    0.00    0.00    0.14    0.00    0.00    0.00   97.42
Average:       9    4.01    0.00    1.07    0.00    0.00    0.21    0.00    0.00    0.00   94.70
Average:      10    4.22    0.00    1.07    0.00    0.00    0.07    0.00    0.00    0.00   94.64
Average:      11    3.30    0.00    1.58    0.00    0.00    0.14    0.00    0.00    0.00   94.98
Average:      12    2.80    0.00    0.86    0.00    0.00    0.29    0.00    0.00    0.00   96.06
Average:      13    6.87    0.00    1.00   10.67    0.00    0.21    0.00    0.00    0.00   81.25
Average:      14    4.14    0.00    1.29    4.14    0.00    0.14    0.00    0.00    0.00   90.29
Average:      15    1.50    0.00    1.29    0.36    0.00    0.14    0.00    0.00    0.00   96.71
Average:      16    4.92    0.00    1.43    0.21    0.00    0.14    0.00    0.00    0.00   93.30
Average:      17    3.94    0.00    1.00    0.00    0.00    0.21    0.00    0.00    0.00   94.84
Average:      18    2.87    0.00    1.29    0.00    0.00    0.07    0.00    0.00    0.00   95.76
Average:      19    0.93    0.00    1.29    0.00    0.00    0.14    0.00    0.00    0.00   97.63
Average:      20    4.94    0.00    1.15    0.00    0.00    0.14    0.00    0.00    0.00   93.77
Average:      21    1.14    0.00    1.64    0.00    0.00    0.07    0.00    0.00    0.00   97.14
Average:      22    2.58    0.00    1.07    0.00    0.00    0.14    0.00    0.00    0.00   96.21
Average:      23    1.57    0.00    1.07    0.00    0.00    0.21    0.00    0.00    0.00   97.14
