CPU,%usr
all,1.56
0,1.99
1,1.12
2,1.21
3,0.62
4,1.83
5,1.08
6,0.88
7,1.21
8,2.62
9,1.33
10,3.22
11,1.58
12,0.88
13,0.92
14,1.59
15,0.79
16,1.58
17,1.71
18,2.00
19,1.59
20,1.88
21,2.50
22,1.29
23,1.88
