CPU,%usr
all,2.30
0,1.61
1,1.33
2,2.59
3,2.75
4,1.42
5,1.29
6,2.38
7,1.92
8,1.34
9,1.76
10,1.92
11,2.17
12,2.63
13,2.76
14,2.17
15,2.25
16,1.71
17,3.22
18,2.33
19,2.92
20,5.34
21,3.96
22,1.71
23,1.88
