num_of_users,all,core:0,core:1,core:2,core:3,core:4,core:5,core:6,core:7,core:8,core:9,core:10,core:11,core:12,core:13,core:14,core:15,core:16,core:17,core:18,core:19,core:20,core:21,core:22,core:23
20,1.56,1.99,1.12,1.21,0.62,1.83,1.08,0.88,1.21,2.62,1.33,3.22,1.58,0.88,0.92,1.59,0.79,1.58,1.71,2.00,1.59,1.88,2.50,1.29,1.88
30,2.30,1.61,1.33,2.59,2.75,1.42,1.29,2.38,1.92,1.34,1.76,1.92,2.17,2.63,2.76,2.17,2.25,1.71,3.22,2.33,2.92,5.34,3.96,1.71,1.88
