Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2.24    0.00    0.76    0.02    0.00    0.19    0.00    0.00    0.00   96.78
Average:       0    1.21    0.00    0.85    0.00    0.00    1.14    0.00    0.00    0.00   96.80
Average:       1    1.85    0.00    0.93    0.00    0.00    0.43    0.00    0.00    0.00   96.79
Average:       2    3.50    0.00    0.57    0.00    0.00    0.21    0.00    0.00    0.00   95.71
Average:       3    5.00    0.00    0.50    0.00    0.00    0.29    0.00    0.00    0.00   94.21
Average:       4    3.00    0.00    0.64    0.00    0.00    0.29    0.00    0.00    0.00   96.07
Average:       5    1.07    0.00    1.00    0.00    0.00    0.14    0.00    0.00    0.00   97.78
Average:       6    2.22    0.00    1.22    0.00    0.00    0.14    0.00    0.00    0.00   96.42
Average:       7    0.29    0.00    0.36    0.00    0.00    0.22    0.00    0.00    0.00   99.14
Average:       8    0.93    0.00    0.93    0.00    0.00    0.07    0.00    0.00    0.00   98.07
Average:       9    3.29    0.00    0.43    0.00    0.00    0.14    0.00    0.00    0.00   96.14
Average:      10    0.93    0.00    0.86    0.00    0.00    0.07    0.00    0.00    0.00   98.14
Average:      11    0.86    0.00    0.72    0.00    0.00    0.14    0.00    0.00    0.00   98.28
Average:      12    1.93    0.00    0.57    0.00    0.00    0.21    0.00    0.00    0.00   97.28
Average:      13    4.01    0.00    0.79    0.43    0.00    0.00    0.00    0.00    0.00   94.77
Average:      14    2.57    0.00    0.71    0.00    0.00    0.14    0.00    0.00    0.00   96.57
Average:      15    2.00    0.00    0.64    0.14    0.00    0.14    0.00    0.00    0.00   97.07
Average:      16    2.30    0.00    0.86    0.00    0.00    0.00    0.00    0.00    0.00   96.84
Average:      17    1.43    0.00    0.86    0.00    0.00    0.21    0.00    0.00    0.00   97.49
Average:      18    0.86    0.00    0.93    0.00    0.00    0.07    0.00    0.00    0.00   98.14
Average:      19    4.30    0.00    0.79    0.00    0.00    0.22    0.00    0.00    0.00   94.70
Average:      20    2.08    0.00    1.08    0.00    0.00    0.00    0.00    0.00    0.00   96.85
Average:      21    3.79    0.00    0.43    0.00    0.00    0.07    0.00    0.00    0.00   95.71
Average:      22    1.43    0.00    0.72    0.00    0.00    0.21    0.00    0.00    0.00   97.64
Average:      23    2.86    0.00    0.93    0.00    0.00    0.07    0.00    0.00    0.00   96.13
