CPU,%usr
all,1.52
0,1.69
1,0.57
2,1.07
3,1.14
4,2.22
5,1.00
6,3.44
7,0.43
8,0.93
9,1.86
10,1.07
11,0.65
12,0.79
13,1.07
14,0.57
15,0.79
16,2.29
17,3.28
18,0.57
19,2.08
20,4.51
21,1.64
22,2.08
23,0.93
