CPU,%usr
all,2.24
0,1.21
1,1.85
2,3.50
3,5.00
4,3.00
5,1.07
6,2.22
7,0.29
8,0.93
9,3.29
10,0.93
11,0.86
12,1.93
13,4.01
14,2.57
15,2.00
16,2.30
17,1.43
18,0.86
19,4.30
20,2.08
21,3.79
22,1.43
23,2.86
