CPU,%usr
all,30.45
0,30.19
1,30.81
2,30.55
3,31.13
4,29.23
5,30.49
6,29.93
7,31.10
8,31.85
9,28.62
10,30.23
11,30.17
12,29.23
13,30.72
14,30.87
15,31.76
16,30.72
17,29.88
18,31.07
19,29.53
20,31.70
21,30.85
22,30.15
23,30.13
