CPU,%usr
all,46.99
0,47.72
1,47.69
2,47.82
3,47.87
4,46.78
5,47.00
6,45.76
7,48.11
8,47.52
9,45.03
10,47.37
11,46.84
12,46.74
13,47.53
14,46.92
15,47.01
16,47.44
17,45.80
18,46.33
19,46.80
20,47.68
21,47.14
22,45.62
23,47.28
