Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   30.45    0.00   12.52    0.34    0.00    1.12    0.00    0.00    0.00   55.58
Average:       0   30.19    0.00   12.18    0.18    0.00    1.24    0.00    0.00    0.00   56.21
Average:       1   30.81    0.00   12.34    0.09    0.00    0.89    0.00    0.00    0.00   55.87
Average:       2   30.55    0.00   12.77    0.06    0.00    0.71    0.00    0.00    0.00   55.91
Average:       3   31.13    0.00   12.47    0.09    0.00    0.89    0.00    0.00    0.00   55.42
Average:       4   29.23    0.00   12.77    0.15    0.00    1.99    0.00    0.00    0.00   55.85
Average:       5   30.49    0.00   12.60    0.09    0.00    0.68    0.00    0.00    0.00   56.14
Average:       6   29.93    0.00   12.05    0.09    0.00    1.72    0.00    0.00    0.00   56.21
Average:       7   31.10    0.00   12.13    0.06    0.00    0.86    0.00    0.00    0.00   55.84
Average:       8   31.85    0.00   11.68    0.03    0.00    0.71    0.00    0.00    0.00   55.74
Average:       9   28.62    0.00   13.04    0.06    0.00    2.04    0.00    0.00    0.00   56.24
Average:      10   30.23    0.00   12.79    0.09    0.00    0.77    0.00    0.00    0.00   56.11
Average:      11   30.17    0.00   12.89    0.12    0.00    0.74    0.00    0.00    0.00   56.09
Average:      12   29.23    0.00   13.59    0.06    0.00    1.68    0.00    0.00    0.00   55.44
Average:      13   30.72    0.00   12.77    5.86    0.00    0.62    0.00    0.00    0.00   50.03
Average:      14   30.87    0.00   12.99    0.30    0.00    0.68    0.00    0.00    0.00   55.16
Average:      15   31.76    0.00   12.67    0.12    0.00    0.74    0.00    0.00    0.00   54.71
Average:      16   30.72    0.00   12.43    0.09    0.00    0.65    0.00    0.00    0.00   56.11
Average:      17   29.88    0.00   12.76    0.09    0.00    1.72    0.00    0.00    0.00   55.55
Average:      18   31.07    0.00   12.49    0.09    0.00    0.83    0.00    0.00    0.00   55.53
Average:      19   29.53    0.00   12.27    0.06    0.00    1.81    0.00    0.00    0.00   56.33
Average:      20   31.70    0.00   11.43    0.06    0.00    0.83    0.00    0.00    0.00   55.98
Average:      21   30.85    0.00   12.69    0.06    0.00    0.53    0.00    0.00    0.00   55.87
Average:      22   30.15    0.00   11.91    0.09    0.00    1.63    0.00    0.00    0.00   56.22
Average:      23   30.13    0.00   12.58    0.06    0.00    1.81    0.00    0.00    0.00   55.43
