CPU,%usr
all,1.65
0,2.99
1,0.70
2,0.54
3,1.33
4,1.17
5,1.75
6,0.29
7,0.54
8,0.96
9,1.00
10,0.92
11,1.54
12,0.88
13,3.54
14,1.58
15,1.38
16,0.79
17,1.80
18,2.46
19,3.92
20,3.88
21,2.17
22,2.83
23,0.50
