Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2.36    0.00    0.88    0.38    0.00    0.18    0.00    0.00    0.00   96.21
Average:       0    2.11    0.00    0.83    0.00    0.00    0.99    0.00    0.00    0.00   96.07
Average:       1    3.58    0.00    1.04    0.00    0.00    0.12    0.00    0.00    0.00   95.25
Average:       2    1.87    0.00    0.96    0.00    0.00    0.33    0.00    0.00    0.00   96.83
Average:       3    2.13    0.00    1.04    0.00    0.00    0.17    0.00    0.00    0.00   96.66
Average:       4    2.21    0.00    0.75    0.00    0.00    0.46    0.00    0.00    0.00   96.58
Average:       5    2.04    0.00    0.79    0.00    0.00    0.17    0.00    0.00    0.00   97.00
Average:       6    2.47    0.00    0.75    0.04    0.00    0.13    0.00    0.00    0.00   96.61
Average:       7    2.34    0.00    0.92    0.00    0.00    0.08    0.00    0.00    0.00   96.66
Average:       8    2.50    0.00    1.00    0.00    0.00    0.08    0.00    0.00    0.00   96.41
Average:       9    2.05    0.00    0.50    0.00    0.00    0.21    0.00    0.00    0.00   97.24
Average:      10    2.83    0.00    0.88    0.00    0.00    0.12    0.00    0.00    0.00   96.17
Average:      11    1.13    0.00    0.71    0.00    0.00    0.13    0.00    0.00    0.00   98.04
Average:      12    1.75    0.00    0.79    0.00    0.00    0.25    0.00    0.00    0.00   97.20
Average:      13    1.13    0.00    0.83    7.26    0.00    0.08    0.00    0.00    0.00   90.69
Average:      14    2.38    0.00    1.29    1.79    0.00    0.04    0.00    0.00    0.00   94.50
Average:      15    3.67    0.00    0.88    0.00    0.00    0.08    0.00    0.00    0.00   95.37
Average:      16    3.12    0.00    0.87    0.04    0.00    0.04    0.00    0.00    0.00   95.92
Average:      17    1.50    0.00    1.04    0.00    0.00    0.17    0.00    0.00    0.00   97.29
Average:      18    1.59    0.00    1.00    0.00    0.00    0.08    0.00    0.00    0.00   97.33
Average:      19    3.43    0.00    0.63    0.00    0.00    0.04    0.00    0.00    0.00   95.90
Average:      20    3.09    0.00    0.88    0.00    0.00    0.08    0.00    0.00    0.00   95.95
Average:      21    3.09    0.00    1.00    0.00    0.00    0.04    0.00    0.00    0.00   95.87
Average:      22    1.79    0.00    0.96    0.00    0.00    0.13    0.00    0.00    0.00   97.12
Average:      23    2.76    0.00    0.71    0.00    0.00    0.21    0.00    0.00    0.00   96.32
