CPU,%usr
all,2.36
0,2.11
1,3.58
2,1.87
3,2.13
4,2.21
5,2.04
6,2.47
7,2.34
8,2.50
9,2.05
10,2.83
11,1.13
12,1.75
13,1.13
14,2.38
15,3.67
16,3.12
17,1.50
18,1.59
19,3.43
20,3.09
21,3.09
22,1.79
23,2.76
