CPU,%usr
all,2.24
0,1.24
1,2.57
2,3.55
3,4.12
4,1.67
5,3.87
6,1.75
7,2.87
8,2.04
9,3.60
10,2.09
11,2.72
12,1.96
13,2.13
14,1.59
15,1.83
16,2.75
17,1.38
18,3.59
19,1.34
20,2.54
21,0.79
22,0.92
23,0.71
